lat,lon
19.43268,93.554935
54.53205,18.5264
40.65652,27.663445
50.47459,4.009098
28.39125,129.5039
51.381925,0.7576224
45.530745,18.95
33.074235,133.1132
34.504705,133.7141
52.967865,5.79943
50.34694,-5.1552065
33.12771,132.50375
47.73404,-3.36203
33.359675,-79.295155
-35.262775,174.11875
38.18485,24.063
59.436,10.6535
34.332985,132.9565
34.433335,135.25
31.495875,130.6964
-1.5903765,123.4971
35.51636,139.7557
61.92897,5.139014
26.460165,119.6708
40.769495,29.728705
33.7185,-7.3675
36.52688,-87.365855
52.045425,4.943315
-37.838785,144.93705
30.392535,-88.265815
1.8245,9.7275
52.96567,5.542235
45.049225,12.36746
54.040615,-6.1018885
32.55005,130.4415
23.699865,58.14797
51.96738,5.9702505
41.5195,-82.9525
47.278045,-2.199951
8.1449685,123.84355
51.2695,3.8355
-18.975815,-169.8904
11.941,121.941
40.35658,27.963755
43.3863,-1.665272
49.76215,0.37552555
38.292155,25.926755
39.861685,-0.07090973
4.9765,8.3215
40.703165,122.02125
16.33026,108.0152
47.661655,-2.9776825
51.04113,2.312365
16.7806,94.72997
8.045632,98.90691
34.29978,129.304
21.00822,107.2928
43.7495,-87.704
-29.902865,-51.37722
68.074,13.5355
36.92996,25.600905
53.05265,5.387155
35.667335,139.95905
25.810865,55.962725
39.14435,8.3117105
-12.410215,-76.77834
42.636,131.0701
39.925335,-91.417495
43.170875,5.6108175
13.40156,-87.426065
6.229811,-77.40632
60.541795,-151.24635
45.85239,-119.6774
46.81098,18.927105
45.04894,12.06346
35.25,136.7833
50.6,3.383333
63.818585,9.637177
40.695545,14.47453
42.5204,-9.0176965
50.031075,-66.78452
-16.453355,-39.073735
22.538085,113.8702
-30.996,-57.92138
64.222025,23.717425
-19.052225,-169.92395
33.21667,-87.566665
12.54056,-81.71339
10.904195,124.43115
33.27253,129.5855
43.727515,15.89807
-29.1131,-56.55474
45.354,19.008
37.503,-122.206
49.75813,31.472695
63.73962,-68.52289
50.262575,-5.2913335
25.649495,57.770105
43.67943,-7.5982275
-36.320955,175.48665
23.222445,116.77405
53.085,8.8035
34.14619,134.6128
34.406375,133.1781
62.71667,7.9333335
39.24874,-76.52853
-42.7475,-65.024215
24.503175,118.02925
40.698425,26.05204
28.134065,33.27969
56.250245,10.347945
47.47674,-3.124971
-33.850995,151.1268
46.18801,18.92983
55.332885,-160.4995
39.8369,3.137472
47.108945,18.87741
38.676065,-9.3180825
45.952645,-1.0547635
51.43553,-3.166238
22.23941,113.5863
55.03973,9.4308955
45.95051,-86.248935
57.9,-0.5833333
-7.942949,-14.36531
45.41769,29.55921
31.26894,130.66205
53.150675,-6.064859
10.64724,103.50705
53.699445,7.8083515
53.02388,4.820805
52.39999,7.9998065
-34.087285,-59.0137
20.74167,71.079315
-32.9,151.76375
26.19784,50.71145
39.522595,121.28495
-34.851,-57.8845
21.53369,-77.257105
22.531905,-79.46943
54.88224,11.48275
42.367595,-70.97283
14.711,74.264
-0.94958725,122.79865
21.66159,111.80535
51.157085,5.849035
30.432,48.187155
54.875565,11.02832
20.02432,-77.62489
26.951645,55.751615
